ID,Priority,Layer,Finding,Evidence,Classification,Required disposition
AC-001,Critical,Navigation and routes,"Thirteen of seventeen navigation items accept a legacy role after permission checks fail.","src/components/AppShell.tsx canOpenNavigationItem and src/app/navigation.ts",Confirmed bypass,"Remove role fallback and define declarative route permissions."
AC-002,Critical,Direct routes,"Nine /time/* deep links are not exact navigation records and therefore bypass the shared AppShell route gate.","src/app/router.tsx and exact path lookup in AppShell",Confirmed fragmented boundary,"Add a central route policy map; retain page and RPC checks as defense in depth."
AC-003,Critical,Client actions,"Admin automatically passes Time permission helpers.","src/time/timePermissions.ts",Confirmed bypass,"Use effective permissions only; preserve explicit safety rules separately."
AC-004,Critical,Client actions,"Action Center, Directory, Schedule, Sites, and Users & Access contain fixed-role authorization fallbacks.","Role-reference inventory in application source",Confirmed bypass,"Replace action authority with effective permissions and test grants plus denies."
AC-005,Critical,Worker,"admin.users.manage accepts a legacy Admin-role fallback.","worker/index.ts requireAdminMfa",Confirmed bypass,"Require the effective permission and its MFA requirement."
AC-006,High,Worker,"Notification processing accepts four fixed operations roles or a permission.","worker/index.ts handleNotificationProcessApi",Confirmed mixed authority,"Use effective permission authority only and preserve MFA."
AC-007,Critical,Database functions,"Twenty-nine live functions contain role references without an effective-permission helper.","Fingerprint production baseline",Review candidate set,"Classify each function; convert business authorization or document non-authorizing helper use."
AC-008,Critical,RLS,"Thirty-nine of fifty live RLS policies contain role references without an effective-permission check.","Fingerprint production baseline",Confirmed architectural gap,"Convert sensitive reads and all writes to permission-aware policies or RPC-only boundaries."
AC-009,High,Function grants,"Four protected public RPCs have explicit anon execute grants despite internal permission checks.","Live information_schema.routine_privileges",Least-privilege gap,"Revoke anon execute and retain authenticated grants where required."
AC-010,Medium,Private grants,"Private functions retain PUBLIC execute grants even though anon/authenticated lack private schema usage.","Live function grants and schema privilege snapshot",Defense-in-depth gap,"Revoke PUBLIC; explicitly grant service_role or required internal owners."
AC-011,Critical,MFA,"MFA requirement metadata exists on permissions but several client and Worker paths still infer MFA from role.","Permission catalog plus AccountSecurity and Worker role checks",Confirmed architectural gap,"Enforce MFA based on the effective permission being exercised."
AC-012,High,User administration,"Some Users & Access actions require Admin role even if a custom role has the required permission; other actions grant all Admins regardless of a deny override.","src/pages/UserAdminPage.tsx",Confirmed over-grant and under-grant,"Use effective permissions and keep last-Admin protection as a separate invariant."
AC-013,High,Role matrix,"Current high-impact grants have not yet been explicitly approved as the intended future matrix.","Current production role matrix",Decision required,"Obtain business approval before changing enforcement or role grants."
AC-014,Medium,Production drift,"One live function name public.rls_auto_enable is not defined in repository migrations; renamed and overloaded functions make static counts non-authoritative.","Static-to-live function comparison",Governance gap,"Document or migrate the platform function and always compare against a live snapshot."
AC-015,Low,Presentation role checks,"Role labels and employee-versus-operations presentation choices are mixed into the same role-reference population as authorization checks.","Application role-reference inventory",Classification required,"Keep presentation-only logic separate and prohibit it from granting data or actions."
AC-016,High,Regression coverage,"The system lacks one end-to-end matrix proving revoke and grant behavior across navigation, direct routes, buttons, Worker, RPC, and RLS.","Inventory acceptance review",Test gap,"Add positive and negative permission-contract tests before rollout."
