Permission code,Category,Permission name,Risk level,MFA required,Admin,Dispatcher,Guard,Recruiting & Licensing,Scheduler,Supervisor
accountability.create,Accountability,Create accountability events,sensitive,Yes,Granted,Granted,Granted,,Granted,Granted
accountability.manage,Accountability,Manage accountability events,critical,Yes,Granted,Granted,,,Granted,Granted
accountability.report_call_off,Accountability,Report Sick / Call-Off,critical,Yes,Granted,Granted,,,Granted,Granted
accountability.view,Accountability,View accountability events,sensitive,Yes,Granted,Granted,,Granted,Granted,Granted
admin.roles.manage,Administration,Manage roles and permissions,critical,Yes,Granted,,,,,
admin.roles.view,Administration,View roles and permissions,sensitive,Yes,Granted,,,,,
admin.security.manage,Administration,Manage security,critical,Yes,Granted,,,,,
admin.users.basic,Administration,Manage basic user details,sensitive,Yes,Granted,,,Granted,Granted,
admin.users.delete,Administration,Remove separated employees,critical,Yes,Granted,,,,,
admin.users.invite,Administration,New User Invites,sensitive,Yes,Granted,,,,Granted,
admin.users.manage,Administration,Manage login access,critical,Yes,Granted,,,Granted,,
admin.users.separate,Administration,Separate users,critical,Yes,Granted,,,,,
admin.users.view,Administration,View user administration,sensitive,Yes,Granted,,,,,
announcements.acknowledgments.manage,Announcements,Manage announcement acknowledgments,sensitive,Yes,Granted,,,,,
announcements.banner.manage,Announcements,Manage announcement banner,sensitive,Yes,Granted,,,,,Granted
announcements.send,Announcements,Send announcements,critical,Yes,Granted,,,,Granted,Granted
announcements.view,Announcements,View announcements,standard,Yes,Granted,Granted,Granted,Granted,Granted,Granted
availability.manage,Availability,Manage availability,sensitive,Yes,Granted,,,,Granted,Granted
availability.view,Availability,View availability,standard,Yes,Granted,Granted,Granted,,Granted,Granted
directory.edit_basic,Directory,Edit employee profile,sensitive,Yes,Granted,,,Granted,Granted,Granted
directory.edit_credentials,Directory,Edit credentials,critical,Yes,Granted,,,Granted,Granted,Granted
directory.view,Directory,View directory,standard,Yes,Granted,Granted,,Granted,Granted,Granted
actions.self.view,Employee Actions,View own action center,standard,No,Granted,Granted,Granted,Granted,Granted,Granted
events.manage,Events & Openings,Manage events and openings,sensitive,Yes,Granted,,,,Granted,Granted
events.view,Events & Openings,View events and openings,standard,No,Granted,Granted,Granted,,Granted,Granted
licensing.communicate,Licensing,Send licensing communication,sensitive,Yes,Granted,,,Granted,,
licensing.configure,Licensing,Configure licensing rules,critical,Yes,Granted,,,Granted,,
licensing.manage,Licensing,Manage licensing,critical,Yes,Granted,,,Granted,,
